Disease,Symptoms
Vitiligo,Loss of pigmentation;Lightened skin;White patches;Irregular skin color
Tinea,"Itchy rash;Red, ring-shaped rash"
Actinic Keratosis,"Crusting;Itchy spots;Dry, scaly patches;Red or brown spots;Sun damage"
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Lupus,Mouth sores;Red patches;Sensitivity to sunlight;Butterfly-shaped rash;Scaly skin
Actinic Keratosis,"Itchy spots;Sun damage;Crusting;Dry, scaly patches"
Skin Cancer,Asymmetrical growth;Irregular borders;Changes in existing moles
Eczema,Redness;Itchy skin;Blisters;Swollen skin
Psoriasis,Itchy patches;Red skin;Scaly skin
Eczema,Redness;Itchy skin;Swollen skin
Skin Cancer,Bleeding lesions;Asymmetrical growth;Irregular borders
Moles,Irregular border;Dark spots;Raised moles;Multicolored moles;Itchy moles
Rosacea,Visible blood vessels;Eye irritation
Psoriasis,Dry cracked skin;Red skin;Itchy patches;Scaly skin
Actinic Keratosis,"Sun damage;Crusting;Red or brown spots;Dry, scaly patches"
Skin Cancer,Changes in existing moles;Asymmetrical growth;Bleeding lesions;Irregular borders;New growths
Vascular Tumors,Red or purple spots;Painful nodules;Swelling
Infestations/Bites,Visible bites;Wheals;Itchy rash;Lice
Vascular Tumors,Red or purple spots;Swelling
Acne,Inflamed skin;Pimples;Oily skin
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Sun/Sunlight Damage,Wrinkles;Rough patches
Lichen Planus,White lines;Purple flat-topped bumps;Inflammation;Itchy lesions
Sun/Sunlight Damage,Sunburn;Freckles;Wrinkles
Warts,Itchy warts;Rough texture
Vasculitis,Red or purple patches;Swollen blood vessels
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Actinic Keratosis,"Red or brown spots;Dry, scaly patches;Crusting;Itchy spots;Sun damage"
Psoriasis,Dry cracked skin;Thickened nails
Vasculitis,Red or purple patches;Swollen blood vessels
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation
Tinea,"Red, ring-shaped rash;Blisters;Peeling skin"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Lichen Planus,Purple flat-topped bumps;Itchy lesions;Inflammation;White lines
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Vasculitis,Swollen blood vessels;Red or purple patches;Skin sores
Warts,Hard lumps;Rough texture
Moles,Itchy moles;Irregular border;Raised moles
Warts,Itchy warts;Hard lumps;Rough texture
Vascular Tumors,Visible blood vessels;Painful nodules
Vasculitis,Fever;Rash
Acne,Oily skin;Whiteheads
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Infestations/Bites,Wheals;Itchy rash
Moles,Multicolored moles;Irregular border;Itchy moles;Raised moles
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Rosacea,Visible blood vessels;Redness
Tinea,Itchy rash;Peeling skin
Vascular Tumors,Swelling;Red or purple spots;Painful nodules
Tinea,Blisters;Itchy rash
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Benign Tumors,Soft lumps;Non-cancerous growths
Vascular Tumors,Red or purple spots;Swelling;Painful nodules;Visible blood vessels
Drug Eruption,Rash;Swelling;Fever
Candidiasis,Swollen skin;Itchy rash
Lichen Planus,Inflammation;Purple flat-topped bumps;Itchy lesions
Candidiasis,White patches;Itchy rash;Swollen skin
Warts,Bumps on skin;Raised growths
Vasculitis,Fever;Red or purple patches
Skin Cancer,Irregular borders;Bleeding lesions;Asymmetrical growth;New growths;Changes in existing moles
Acne,Pimples;Inflamed skin;Whiteheads
Candidiasis,White patches;Swollen skin;Flaky skin;Itchy rash
Infestations/Bites,Itchy rash;Lice;Wheals;Swollen red spots;Visible bites
Skin Cancer,Bleeding lesions;New growths;Asymmetrical growth;Irregular borders;Changes in existing moles
Lupus,Mouth sores;Scaly skin;Butterfly-shaped rash;Red patches;Sensitivity to sunlight
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Sun/Sunlight Damage,Wrinkles;Rough patches;Freckles
Warts,Bumps on skin;Hard lumps;Itchy warts
Vitiligo,Lightened skin;White patches
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Drug Eruption,Fever;Swelling;Red spots
Warts,Rough texture;Bumps on skin;Raised growths;Hard lumps
Vascular Tumors,Painful nodules;Swelling
Moles,Irregular border;Dark spots
Lichen Planus,Purple flat-topped bumps;Itchy lesions
Lupus,Scaly skin;Sensitivity to sunlight
Unknown/Normal Variants,Normal pigmentation;No symptoms
Acne,Whiteheads;Blackheads;Pimples
Unknown/Normal Variants,No symptoms;Minor blemishes
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Drug Eruption,Itching;Rash;Fever;Hives;Red spots
Actinic Keratosis,"Dry, scaly patches;Red or brown spots;Crusting;Sun damage"
Rosacea,Redness;Pimple-like bumps;Visible blood vessels;Eye irritation;Burning sensation
Psoriasis,Dry cracked skin;Itchy patches;Thickened nails;Scaly skin
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Acne,Cystic acne;Whiteheads;Pimples
Vasculitis,Red or purple patches;Fever
Eczema,Cracked skin;Redness;Swollen skin;Itchy skin;Dry patches
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Skin Cancer,New growths;Changes in existing moles
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Candidiasis,"Flaky skin;White patches;Itchy rash;Red, sore skin;Swollen skin"
Eczema,Swollen skin;Itchy skin
Acne,Blackheads;Inflamed skin;Whiteheads;Oily skin
Actinic Keratosis,"Itchy spots;Sun damage;Crusting;Dry, scaly patches"
Lichen Planus,White lines;Purple flat-topped bumps;Itchy lesions
Actinic Keratosis,Red or brown spots;Itchy spots
Actinic Keratosis,Sun damage;Crusting;Itchy spots
Moles,Multicolored moles;Itchy moles;Raised moles;Dark spots
Acne,Inflamed skin;Cystic acne;Blackheads
Infestations/Bites,Itchy rash;Wheals
Vasculitis,Fever;Swollen blood vessels;Rash;Red or purple patches;Skin sores
Skin Cancer,Irregular borders;Changes in existing moles;New growths;Asymmetrical growth;Bleeding lesions
Sun/Sunlight Damage,Wrinkles;Freckles;Sunburn;Rough patches
Lupus,Red patches;Scaly skin;Butterfly-shaped rash;Mouth sores;Sensitivity to sunlight
Rosacea,Visible blood vessels;Eye irritation
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Skin Cancer,Bleeding lesions;New growths;Asymmetrical growth;Changes in existing moles
Vasculitis,Skin sores;Fever
Vascular Tumors,Painful nodules;Visible blood vessels;Swelling
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Rosacea,Burning sensation;Visible blood vessels;Eye irritation;Pimple-like bumps
Lichen Planus,Inflammation;Purple flat-topped bumps
Actinic Keratosis,Itchy spots;Sun damage;Red or brown spots;Crusting
Vasculitis,Swollen blood vessels;Fever;Red or purple patches;Skin sores
Vasculitis,Swollen blood vessels;Red or purple patches;Skin sores;Fever
Moles,Itchy moles;Dark spots;Irregular border;Multicolored moles
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Acne,Oily skin;Blackheads;Inflamed skin;Whiteheads
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Lupus,Butterfly-shaped rash;Scaly skin;Mouth sores
Vascular Tumors,Visible blood vessels;Red or purple spots;Painful nodules
Lupus,Mouth sores;Sensitivity to sunlight;Scaly skin;Red patches
Vitiligo,Lightened skin;White patches;Loss of pigmentation;Irregular skin color
Vasculitis,Swollen blood vessels;Fever;Rash;Red or purple patches
Lichen Planus,Itchy lesions;Inflammation;White lines
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Lupus,Sensitivity to sunlight;Scaly skin;Red patches;Butterfly-shaped rash;Mouth sores
Actinic Keratosis,"Sun damage;Dry, scaly patches"
Warts,Bumps on skin;Raised growths;Rough texture
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Tinea,"Burning sensation;Red, ring-shaped rash"
Sun/Sunlight Damage,Wrinkles;Freckles
Sun/Sunlight Damage,Wrinkles;Dark spots
Warts,Raised growths;Bumps on skin;Itchy warts
Vitiligo,White patches;Irregular skin color
Lichen Planus,Inflammation;White lines;Itchy lesions;Purple flat-topped bumps
Acne,Oily skin;Inflamed skin;Pimples
Tinea,Itchy rash;Burning sensation;Peeling skin
Vasculitis,Rash;Fever;Swollen blood vessels;Skin sores
Eczema,Dry patches;Blisters;Cracked skin;Itchy skin
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Lupus,Scaly skin;Red patches;Butterfly-shaped rash;Sensitivity to sunlight
Actinic Keratosis,Crusting;Sun damage;Red or brown spots
Infestations/Bites,Wheals;Lice;Itchy rash;Visible bites;Swollen red spots
Vascular Tumors,Painful nodules;Visible blood vessels;Swelling;Red or purple spots
Lupus,Red patches;Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash;Mouth sores
Lupus,Scaly skin;Sensitivity to sunlight;Red patches;Mouth sores
Acne,Cystic acne;Blackheads;Oily skin;Inflamed skin;Whiteheads
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Infestations/Bites,Lice;Visible bites
Candidiasis,"White patches;Itchy rash;Red, sore skin;Swollen skin;Flaky skin"
Lichen Planus,Inflammation;Purple flat-topped bumps;White lines;Itchy lesions
Tinea,"Burning sensation;Blisters;Itchy rash;Red, ring-shaped rash;Peeling skin"
Vitiligo,Lightened skin;Irregular skin color;Loss of pigmentation;White patches
Benign Tumors,Soft lumps;Flesh-colored bumps
Vitiligo,White patches;Lightened skin
Infestations/Bites,Visible bites;Itchy rash;Swollen red spots
Eczema,Redness;Itchy skin;Swollen skin;Dry patches;Blisters
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Rosacea,Visible blood vessels;Eye irritation;Pimple-like bumps;Redness;Burning sensation
Moles,Itchy moles;Irregular border;Dark spots;Raised moles;Multicolored moles
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Infestations/Bites,Visible bites;Lice
Candidiasis,"Swollen skin;Red, sore skin"
Psoriasis,Thickened nails;Red skin;Dry cracked skin;Itchy patches
Tinea,"Red, ring-shaped rash;Burning sensation;Blisters;Peeling skin"
Actinic Keratosis,"Red or brown spots;Dry, scaly patches;Crusting"
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Drug Eruption,Fever;Swelling;Hives
Acne,Blackheads;Cystic acne;Whiteheads
Psoriasis,Dry cracked skin;Red skin;Itchy patches;Thickened nails;Scaly skin
Eczema,Itchy skin;Swollen skin;Blisters;Cracked skin;Dry patches
Drug Eruption,Fever;Red spots;Swelling;Itching
Vitiligo,Irregular skin color;White patches;Lightened skin;Loss of pigmentation
Sun/Sunlight Damage,Sunburn;Wrinkles
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Vasculitis,Rash;Fever;Skin sores;Red or purple patches
Lupus,Sensitivity to sunlight;Mouth sores;Scaly skin
Vasculitis,Rash;Swollen blood vessels;Skin sores;Fever
Sun/Sunlight Damage,Sunburn;Freckles;Dark spots;Rough patches
Moles,Raised moles;Itchy moles;Irregular border;Multicolored moles;Dark spots
Rosacea,Eye irritation;Redness
Drug Eruption,Itching;Rash;Red spots
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Candidiasis,"Itchy rash;Red, sore skin;Flaky skin"
Lichen Planus,White lines;Inflammation;Purple flat-topped bumps;Itchy lesions
Sun/Sunlight Damage,Rough patches;Sunburn;Dark spots;Freckles;Wrinkles
Vasculitis,Fever;Skin sores;Swollen blood vessels;Red or purple patches
Acne,Pimples;Oily skin;Blackheads;Inflamed skin;Whiteheads
Vascular Tumors,Visible blood vessels;Swelling;Red or purple spots
Sun/Sunlight Damage,Sunburn;Rough patches
Psoriasis,Dry cracked skin;Itchy patches;Thickened nails
Lichen Planus,White lines;Itchy lesions
Vascular Tumors,Painful nodules;Red or purple spots;Swelling
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Scaly skin
Psoriasis,Itchy patches;Scaly skin;Dry cracked skin;Red skin
Eczema,Cracked skin;Itchy skin;Dry patches;Blisters;Redness
Vasculitis,Fever;Swollen blood vessels;Skin sores
Eczema,Dry patches;Redness;Swollen skin
Vascular Tumors,Swelling;Red or purple spots;Painful nodules
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Eczema,Redness;Blisters;Dry patches;Itchy skin;Swollen skin
Moles,Raised moles;Dark spots;Itchy moles
Actinic Keratosis,Red or brown spots;Itchy spots
Moles,Dark spots;Irregular border;Itchy moles;Raised moles
Eczema,Redness;Blisters;Cracked skin;Itchy skin
Actinic Keratosis,"Sun damage;Itchy spots;Red or brown spots;Crusting;Dry, scaly patches"
Candidiasis,"Red, sore skin;Swollen skin;Itchy rash;Flaky skin"
Eczema,Blisters;Swollen skin;Redness;Cracked skin
Psoriasis,Dry cracked skin;Red skin;Itchy patches;Thickened nails
Acne,Oily skin;Pimples;Blackheads
Infestations/Bites,Visible bites;Lice;Swollen red spots
Lupus,Butterfly-shaped rash;Mouth sores
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Scaly skin;Red patches;Mouth sores
Vascular Tumors,Visible blood vessels;Swelling;Red or purple spots
Actinic Keratosis,Sun damage;Crusting;Red or brown spots;Itchy spots
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Acne,Cystic acne;Pimples
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Acne,Oily skin;Inflamed skin
Skin Cancer,Irregular borders;Asymmetrical growth;New growths;Bleeding lesions
Skin Cancer,New growths;Bleeding lesions
Drug Eruption,Red spots;Itching;Swelling;Rash
Skin Cancer,New growths;Asymmetrical growth;Changes in existing moles;Irregular borders;Bleeding lesions
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Infestations/Bites,Visible bites;Swollen red spots;Lice
Psoriasis,Itchy patches;Red skin;Scaly skin;Dry cracked skin
Warts,Hard lumps;Rough texture
Vascular Tumors,Painful nodules;Visible blood vessels
Drug Eruption,Rash;Hives;Swelling;Red spots
Drug Eruption,Hives;Red spots;Fever
Moles,Multicolored moles;Dark spots
Warts,Bumps on skin;Rough texture;Hard lumps
Vascular Tumors,Painful nodules;Red or purple spots;Swelling
Rosacea,Redness;Pimple-like bumps;Eye irritation;Visible blood vessels;Burning sensation
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Acne,Whiteheads;Inflamed skin;Pimples
Vascular Tumors,Red or purple spots;Swelling;Painful nodules;Visible blood vessels
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions;Inflammation
Eczema,Itchy skin;Swollen skin;Cracked skin;Dry patches
Rosacea,Visible blood vessels;Pimple-like bumps;Burning sensation;Eye irritation;Redness
Vitiligo,Loss of pigmentation;Irregular skin color;Lightened skin
Lupus,Mouth sores;Sensitivity to sunlight;Scaly skin
Warts,Bumps on skin;Hard lumps;Rough texture;Raised growths
Moles,Multicolored moles;Irregular border;Itchy moles
Psoriasis,Dry cracked skin;Scaly skin;Itchy patches;Red skin
Sun/Sunlight Damage,Wrinkles;Rough patches;Freckles;Dark spots
Lichen Planus,White lines;Inflammation;Itchy lesions;Purple flat-topped bumps
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Warts,Itchy warts;Hard lumps
Skin Cancer,Bleeding lesions;New growths
Skin Cancer,Changes in existing moles;New growths
Vasculitis,Rash;Red or purple patches;Fever;Swollen blood vessels
Moles,Multicolored moles;Raised moles;Dark spots
Drug Eruption,Itching;Fever;Swelling;Red spots;Hives
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Infestations/Bites,Visible bites;Wheals;Itchy rash;Lice
Skin Cancer,Asymmetrical growth;Changes in existing moles
Infestations/Bites,Itchy rash;Visible bites;Lice
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Psoriasis,Itchy patches;Scaly skin
Skin Cancer,Asymmetrical growth;Bleeding lesions;New growths
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Vitiligo,White patches;Lightened skin;Loss of pigmentation
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Sun/Sunlight Damage,Dark spots;Sunburn
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Actinic Keratosis,"Dry, scaly patches;Sun damage;Itchy spots"
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Vasculitis,Rash;Swollen blood vessels;Red or purple patches;Fever
Tinea,"Peeling skin;Blisters;Burning sensation;Itchy rash;Red, ring-shaped rash"
Vitiligo,Lightened skin;Irregular skin color
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Infestations/Bites,Lice;Itchy rash;Swollen red spots;Wheals;Visible bites
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Vasculitis,Skin sores;Swollen blood vessels;Red or purple patches
Skin Cancer,New growths;Bleeding lesions;Changes in existing moles;Asymmetrical growth
Eczema,Dry patches;Swollen skin;Cracked skin;Itchy skin
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Lupus,Red patches;Scaly skin
Lupus,Mouth sores;Sensitivity to sunlight;Red patches;Scaly skin
Vascular Tumors,Painful nodules;Red or purple spots;Swelling
Vascular Tumors,Red or purple spots;Painful nodules;Swelling;Visible blood vessels
Drug Eruption,Hives;Red spots
Lupus,Scaly skin;Butterfly-shaped rash
Drug Eruption,Swelling;Itching;Hives
Vascular Tumors,Red or purple spots;Swelling
Infestations/Bites,Visible bites;Itchy rash
Moles,Multicolored moles;Itchy moles;Raised moles
Acne,Cystic acne;Whiteheads;Pimples
Actinic Keratosis,Crusting;Itchy spots
Acne,Blackheads;Inflamed skin;Pimples
Vascular Tumors,Red or purple spots;Visible blood vessels
